LABELS
SEPARATOR TAB
DATA
G000005825	s__Bacillus pseudofirmus
G001306115	s__Ornatilinea apprima
G001306135	s__Herpetosiphon geysericola
G001306145	s__Thermanaerothrix daxensis
G001306415	g__Croceitalea
G001306455	s__Leadbetterella sp. JN14-9
G001306895	s__Pseudoalteromonas sp. UCD-33C
G001306995	s__Xanthomonas sp. Mitacek01
G001307035	s__Arthrobacter sp. Edens01
G001307195	s__Acinetobacter equi
G001307765	g__Aliiroseovarius
G001307855	s__Rhodocyclaceae bacterium Paddy-1
G001308005	s__Neisseria sp. 74A18
G001308105	f__Persicobacteraceae
G001308145	s__Weissella cibaria
G001310225	s__Algibacter alginolytica
G001310255	s__Brevundimonas sp. DS20
G001310275	s__Nocardia arizonensis
G001310395	g__Halolactibacillus
G001310455	s__Photobacterium sp. JCM 19050
G001310595	s__Bacillus sp. JCM 19035
G001310615	s__Thalassobacillus sp. C254
G001310795	g__Diaphorobacter
G001310815	s__Pseudovibrio denitrificans
G001310955	f__Marinifilaceae
G001311035	s__[Clostridium] glycyrrhizinilyticum
G001311195	s__Lactobacillus camelliae
G001311375	s__Lactobacillus equigenerosi
G001311565	g__Desulfothermus
G001311785	s__Lactobacillus saniviri
G001311825	s__Desulfovibrio brasiliensis
G001311845	s__Desulfosarcina cetonica
G001311885	s__Syntrophomonas palmitatica
G001311905	g__Calditerricola
G001311925	s__Cellulosilyticum ruminicola
G001311945	s__Aciditerrimonas ferrireducens
G001312005	s__Methylomonas koyamae
G001312345	g__Methylogaea
G001312505	s__Ruminococcus faecis
G001312805	g__Byssovorax
G001312845	s__Lactobacillus collinoides
G001312925	s__Rhodococcus sp. HA99
G001313065	g__Silvimonas
G001313225	s__Lactobacillus silagei
G001314225	s__Microbacterium sp. No. 7
G001314305	s__Stenotrophomonas acidaminiphila
G001314325	s__Sphingopyxis macrogoltabida
G001314545	s__Bacteroidetes bacterium HLUCCA01
G001314905	s__Phormidium sp. OSCR
G001314945	s__Lactobacillus kunkeei
G001314995	s__Bacteroides ovatus
G001315015	s__Azospirillum brasilense
G001315825	s__Metallosphaera hakonensis
G001315945	g__Methanogenium
G001315965	s__Methanoculleus chikugoensis
G001316025	s__Vulcanisaeta souniana
G001316045	s__Sulfolobus metallicus
G001316085	s__Sulfolobus sp. JCM 16833
G001316245	s__Vulcanisaeta sp. JCM 14467
G001316285	s__Vulcanisaeta sp. JCM 16161
G001316435	s__Caloranaerobacter sp. TR13
G001317315	s__Ca. Methanoperedens sp. BLZ1
G001317345	s__Thermococcus sp. EP1
G001317355	g__Oxobacter
G001318295	g__Ca. Xiphinematobacter
G001318345	s__Bacteroides cellulosilyticus
G001318405	s__Enterococcus cecorum
G001321825	s__Psychromonas sp. PRT-SC03
G001321835	g__Marinosulfonomonas
G001368815	g__Paraliobacillus
G001373415	s__Paenibacillus sp. FF9
G001375495	g__Flaviflexus
G001375555	g__Numidum
G001375675	g__Massilibacterium
G001399455	s__Vibrio bivalvicida
G001399675	s__Alicyclobacillus ferrooxydans
G001399705	g__Kouleothrix
G001399755	g__Thiohalorhabdus
G001399775	s__Thermus aquaticus
G001399795	s__Ca. Bathyarchaeota archaeon BA2
G001399805	s__Ca. Bathyarchaeota archaeon BA1
G001401775	s__Shewanella sp. P1-14-1
G001401795	s__Pseudoalteromonas sp. P1-26
G001402795	s__Pseudanabaena sp. 'Roaring Creek'
G001402875	g__Blastochloris
G001403595	g__Gabonia
G001403615	s__Desnuesiella massiliensis
G001403635	s__Clostridium sp. ND2
G001403735	s__Jannaschia rubra
G001403775	g__Helcobacillus
G001403795	s__Jannaschia donghaensis
G001403875	s__Paenibacillus ihumii
G001404335	s__[Eubacterium] contortum
G001405015	s__Clostridium disporicum
G001405615	s__Roseburia faecis
G001406335	g__Fusicatenibacter
G001407835	g__Lagierella
G001408335	s__Kocuria salsicia
G001408515	s__Jannaschia seosinensis
G001411495	s__Burkholderia cepacia
G001411945	s__Loktanella sp. 1ANDIMAR09
G001412105	s__Corynebacterium oculi
G001412215	s__Pedobacter sp. Hv1
G001412345	s__Smithella sp. SDB
G001412355	s__Methanoculleus sp. SDB
G001412365	s__Desulfuromonas sp. SDB
G001412425	s__Ca. Cloacimonas sp. SDB
G001412575	s__Limnohabitans sp. 103DPR2
G001412595	s__Massilia sp. WG5
G001412615	s__Pyrodictium delaneyi
G001412655	s__Pedobacter sp. PACM 27299
G001413925	s__Nonlabens sp. YIK11
G001413955	g__Flagellimonas
G001413985	s__Deinococcus sp. UR1
G001414325	s__Lachnospiraceae bacterium TF01-11
G001417755	s__Nonomuraea sp. NBRC 110462
G001417815	s__Bifidobacterium aesculapii
G001417955	s__Mycobacterium gordonae
G001418005	g__Chelatococcus
G001418015	s__Lacinutrix mariniflava
G001418035	g__Gulbenkiania
G001418105	s__Lacinutrix himadriensis
G001418205	s__Marinomonas fungiae
G001418245	s__Tepidiphilus thermophilus
G001418255	s__Thiomonas bhubaneswarensis
G001418335	s__Streptomyces aurantiacus
G001418345	s__Idiomarina woesei
G001418415	s__Streptomyces hirsutus
G001418465	s__Streptomyces kanamyceticus
G001418475	s__Streptomyces ossamyceticus
G001418495	s__Streptomyces pathocidini
G001418575	s__Streptomyces griseoplanus
G001418585	s__Streptomyces griseoruber
G001418655	s__Streptomyces phaeochromogenes
G001418685	g__Apibacter
G001419695	s__Streptomyces prasinopilosus
G001419745	s__Streptomyces silaceus
G001420005	s__Loktanella sp. 3ANDIMAR09
G001420285	s__Chryseobacterium aquaticum
G001420315	s__Bosea thiooxidans
G001420595	s__Bacillus solani
G001420645	s__Bacillus plakortidis
G001420695	s__Brevibacillus choshinensis
G001420715	s__Bacillus shackletonii
G001420915	s__Agarivorans gilvus
G001421015	s__Paenibacillus bovis
G001421095	s__Ca. Bacteroides periocalifornicus
G001421175	s__Methanomassiliicoccales archaeon RumEn M2
G001421185	s__Methanomassiliicoccales archaeon RumEn M1
G001421285	s__Sphingomonas sp. Leaf11
G001421505	s__Sphingomonas sp. Leaf17
G001421515	s__Pedobacter sp. Leaf216
G001421565	s__Agromyces sp. Leaf222
G001421665	s__Sphingobium sp. Leaf26
G001421705	g__Xylophilus
G001421785	s__Sphingomonas sp. Leaf33
G001421805	s__Sphingomonas sp. Leaf34
G001421995	s__Sphingomonas sp. Leaf231
G001422145	g__Frigoribacterium
G001422205	s__Curtobacterium sp. Leaf261
G001422215	s__Methylobacterium sp. Leaf89
G001422375	s__Methylobacterium sp. Leaf99
G001422405	s__Pseudorhodoferax sp. Leaf267
G001422445	s__Pseudorhodoferax sp. Leaf274
G001422605	s__Erwinia sp. Leaf53
G001423045	s__Rathayibacter sp. Leaf296
G001423105	g__Frondihabitans
G001423135	s__Nocardioides sp. Leaf307
G001423185	g__Plantibacter
G001423245	s__Aureimonas sp. Leaf324
G001423365	s__Aeromicrobium sp. Leaf291
G001423695	s__Leifsonia sp. Leaf336
G001423765	s__Sphingomonas sp. Leaf343
G001423845	s__Sphingomonas sp. Leaf357
G001423885	s__Rathayibacter sp. Leaf185
G001423945	s__Pedobacter sp. Leaf194
G001423985	s__Flavobacterium sp. Leaf359
G001424025	s__Brevundimonas sp. Leaf363
G001424105	s__Chryseobacterium sp. Leaf394
G001424145	s__Chryseobacterium sp. Leaf404
G001424165	s__Massilia sp. Leaf139
G001424265	s__Acidovorax sp. Leaf160
G001424305	s__Pedobacter sp. Leaf176
G001424385	s__Curtobacterium sp. Leaf183
G001424455	s__Geodermatophilus sp. Leaf369
G001424485	s__Modestobacter sp. Leaf380
G001424525	s__Methylobacterium sp. Leaf399
G001424545	s__Ramlibacter sp. Leaf400
G001424565	s__Arthrobacter sp. Leaf141
G001424585	s__Chryseobacterium sp. Leaf180
G001424665	s__Methylophilus sp. Leaf416
G001424685	s__Aureimonas sp. Leaf454
G001424755	s__Marmoricola sp. Leaf446
G001424785	s__Rhizobacter sp. Root29
G001424795	s__Aminobacter sp. Root100
G001424905	s__Leifsonia sp. Root112D2
G001424985	s__Rhizobium sp. Root1212
G001425085	s__Leifsonia sp. Root4
G001425305	s__Phenylobacterium sp. Root1290
G001425325	s__Leifsonia sp. Root1293
G001425405	s__Sphingomonas sp. Leaf412
G001425465	s__Methylobacterium sp. Leaf456
G001425575	s__Aurantimonas sp. Leaf443
G001425785	s__Rhizobacter sp. Root1221
G001425835	s__Afipia sp. Root123D2
G001425865	s__Rhizobacter sp. Root404
G001425945	s__Brevundimonas sp. Root1279
G001426185	s__Rhodococcus sp. Leaf247
G001426195	s__Sphingomonas sp. Leaf339
G001426225	s__Bosea sp. Leaf344
G001426345	s__Devosia sp. Root436
G001426375	s__Paenibacillus sp. Root444D2
G001426435	g__Angustibacter
G001426485	s__Aeromicrobium sp. Root472D3
G001426665	s__Rhizobium sp. Root1334
G001426755	s__Aeromicrobium sp. Root495
G001426925	s__Microbacterium sp. Root53
G001426945	g__Pseudolabrys
G001426965	s__Mesorhizobium sp. Root1471
G001427085	s__Sphingopyxis sp. Root1497
G001427145	s__Microbacterium sp. Root166
G001427225	s__Lysobacter sp. Root494
G001427385	s__Mesorhizobium sp. Root157
G001427525	s__Microbacterium sp. Root61
G001427625	s__Rhizobium sp. Root651
G001427705	g__Pelomonas
G001427795	s__Nocardioides sp. Root682
G001427825	s__Brevundimonas sp. Root608
G001427865	s__Altererythrobacter sp. Root672
G001427875	s__Devosia sp. Root685
G001427915	s__Phycicoccus sp. Root563
G001427925	s__Nocardioides sp. Root151
G001427985	s__Knoellia sp. Soil729
G001428025	s__Phycicoccus sp. Soil748
G001428065	s__Tetrasphaera sp. Soil756
G001428125	s__Nocardioides sp. Soil774
G001428255	s__Agromyces sp. Soil535
G001428305	s__Janibacter sp. Soil728
G001428365	s__Arthrobacter sp. Soil763
G001428405	s__Frateuria sp. Soil773
G001428435	s__Arthrobacter sp. Soil782
G001428485	s__Microbacterium sp. Root180
G001428505	s__Terrabacter sp. Root181
G001428545	s__Noviherbaspirillum sp. Root189
G001428565	s__Nocardioides sp. Root190
G001428645	s__Acidovorax sp. Root217
G001428745	s__Leifsonia sp. Root227
G001428765	s__Nocardioides sp. Root79
G001428805	s__Aeromicrobium sp. Root236
G001428865	s__Sphingomonas sp. Root241
G001429025	s__Phenylobacterium sp. Root700
G001429255	s__Cellulomonas sp. Root930
G001429315	s__Lysobacter sp. Root96
G001429395	s__Bosea sp. Root381
G001429505	s__Bosea sp. Root483D1
G001429555	s__Nocardioides sp. Soil797
G001429625	s__Nocardioides sp. Soil805
G001429685	s__Phycicoccus sp. Soil803
G001429705	g__Yonghaparkia
G001429805	s__Kitasatospora sp. Root187
G001429825	s__Bacillus sp. Soil531
G001430825	g__Sediminicola
G001431195	s__Virgibacillus soli
G001431315	g__Ca. Berkiella
G001431365	g__Salegentibacter
G001431405	s__Pseudoxanthomonas dokdonensis
G001431485	s__Stenotrophomonas ginsengisoli
G001431505	s__Stenotrophomonas daejeonensis
G001431525	s__Stenotrophomonas koreensis
G001431535	s__Stenotrophomonas chelatiphaga
G001431645	s__Stenotrophomonas panacihumi
G001431705	s__Ferrovum sp. JA12
G001431725	s__Halomonas huangheensis
G001432305	s__Curvibacter sp. PAE-UM
G001433395	s__Bordetella sp. N
G001433765	s__Lactobacillus coryniformis
G001434225	s__Lactobacillus nagelii
G001434255	s__Lactobacillus diolivorans
G001434275	s__Lactobacillus mindensis
G001434315	s__Lactobacillus oligofermentans
G001434335	s__Lactobacillus kalixensis
G001434365	s__Lactobacillus gastricus
G001434395	s__Lactobacillus hammesii
G001434475	s__Lactobacillus suebicus
G001434535	s__Lactobacillus animalis
G001434555	s__Lactobacillus amylotrophicus
G001434575	s__Lactobacillus bifermentans
G001434665	s__Lactobacillus tucceti
G001434695	s__Lactobacillus algidus
G001434745	s__Lactobacillus alimentarius
G001434815	s__Lactobacillus equicursoris
G001434835	s__Lactobacillus acidifarinae
G001434845	s__Lactobacillus hordei
G001434915	s__Lactobacillus capillatus
G001434935	s__Lactobacillus uvarum
G001435035	s__Lactobacillus manihotivorans
G001435095	s__Lactobacillus spicheri
G001435195	s__Lactobacillus satsumensis
G001435235	s__Lactobacillus ghanensis
G001435295	s__Psychrobacter sp. P11F6
G001435325	s__Lactobacillus intestinalis
G001435345	s__Lactobacillus pontis
G001435445	s__Lactobacillus paralimentarius
G001435585	s__Lactobacillus perolens
G001435835	s__Lactobacillus concavus
G001435935	s__Lactobacillus panis
G001435995	s__Lactobacillus ozensis
G001436045	s__Lactobacillus frumenti
G001436095	s__Lactobacillus dextrinicus
G001436115	s__Lactobacillus brantae
G001436215	s__Lactobacillus agilis
G001436225	s__Lactobacillus sharpeae
G001436255	s__Lactobacillus rapi
G001436275	s__Lactobacillus oeni
G001436295	s__Lactobacillus vaccinostercus
G001436315	s__Lactobacillus aviarius
G001436395	s__Lactobacillus malefermentans
G001436415	s__Lactobacillus graminis
G001436505	s__Lactobacillus rennini
G001436555	s__Lactobacillus senioris
G001436605	s__Lactobacillus floricola
G001436735	s__Lactobacillus cacaonum
G001436755	s__Lactobacillus aquaticus
G001437055	s__Lactobacillus secaliphilus
G001437075	s__Pediococcus stilesii
G001437125	s__Lactobacillus paucivorans
G001437205	s__Lactobacillus selangorensis
G001437355	s__Weissella viridescens
G001437405	s__Pediococcus ethanolidurans
G001437425	s__Weissella minor
G001437435	s__Lactobacillus siliginis
G001437605	s__Pediococcus argentinicus
G001437625	s__Nitrosopumilus sp. BACL13 MAG-121220-bin23
G001437635	s__Actinobacteria bacterium BACL15 MAG-120823-bin78
G001437665	s__Actinobacteria bacterium BACL2 MAG-120820-bin50
G001437675	s__SAR86 cluster bacterium BACL1 MAG-120920-bin57
G001437695	s__Actinobacteria bacterium BACL2 MAG-121001-bin67
G001437715	s__Microbacteriaceae bacterium BACL28 MAG-120531-bin53
G001437755	s__Actinobacteria bacterium BACL4 MAG-121022-bin9
G001437825	s__Acidimicrobium sp. BACL27 MAG-120823-bin4
G001437845	s__Actinobacteria bacterium BACL2 MAG-120802-bin41
G001437855	s__Actinobacteria bacterium BACL4 MAG-120820-bin23
G001437905	s__Actinobacteria bacterium BACL4 MAG-121001-bin59
G001437955	s__Cryomorphaceae bacterium BACL11 MAG-121001-bin54
G001437985	s__Cryomorphaceae bacterium BACL11 MAG-121128-bin16
G001438005	s__Verrucomicrobia subdivision 6 bacterium BACL9 MAG-120507-bin52
G001438015	s__Cryomorphaceae bacterium BACL18 MAG-120924-bin36
G001438045	s__Rhodobacter sp. BACL10 MAG-121220-bin24
G001438085	s__SAR92 bacterium BACL26 MAG-121220-bin70
G001438125	s__Cryomorphaceae bacterium BACL21 MAG-121220-bin10
G001438175	s__Cryomorphaceae bacterium BACL7 MAG-121220-bin83
G001438225	s__Polaribacter sp. BACL8 MAG-120419-bin8
G001438235	s__Rhodobacter sp. BACL10 MAG-120910-bin24
G001438245	s__Polaribacter sp. BACL8 MAG-120619-bin41
G001438265	s__Sphingobacteriales bacterium BACL12 MAG-120813-bin55
G001438305	s__Cryomorphaceae bacterium BACL7 MAG-120910-bin2
G001438315	s__Actinobacteria bacterium BACL2 MAG-120920-bin34
G001438385	s__Methylophilales bacterium BACL14 MAG-120910-bin43
G001438395	s__Actinobacteria bacterium BACL4 MAG-120920-bin74
G001438425	s__SAR86 cluster bacterium BACL1 MAG-120813-bin36
G001438485	s__SAR86 cluster bacterium BACL1 MAG-120828-bin5
G001438495	s__SAR86 cluster bacterium BACL1 MAG-121022-bin58
G001438585	s__SAR86 cluster bacterium BACL1 MAG-121128-bin56
G001438605	s__SAR92 bacterium BACL16 MAG-120619-bin48
G001438655	s__Pediococcus cellicola
G001438705	s__Weissella kandleri
G001438725	s__Pediococcus inopinatus
G001438805	s__Lactobacillus kimchiensis
G001438845	s__Lactobacillus xiangfangensis
G001438895	s__Nitrosopumilus sp. BACL13 MAG-120910-bin56
G001438925	s__Actinobacteria bacterium BACL15 MAG-120619-bin91
G001438965	s__Microbacteriaceae bacterium BACL25 MAG-120322-bin65
G001438985	s__Acidimicrobium sp. BACL17 MAG-120823-bin42
G001439005	s__Acidimicrobium sp. BACL17 MAG-120924-bin0
G001439025	s__Actinobacteria bacterium BACL2 MAG-120813-bin23
G001439035	s__Actinobacteria bacterium BACL2 MAG-121220-bin52
G001439085	s__Actinobacteria bacterium BACL4 MAG-120813-bin39
G001439105	s__Cryomorphaceae bacterium BACL11 MAG-121015-bin20
G001439115	s__Sphingobacteriales bacterium BACL12 MAG-120802-bin5
G001439135	s__Rhodobacter sp. BACL10 MAG-120419-bin15
G001439205	s__Cryomorphaceae bacterium BACL29 MAG-121220-bin8
G001439215	s__Polaribacter sp. BACL8 MAG-120531-bin13
G001439225	s__Actinobacteria bacterium BACL4 MAG-120507-bin0
G001439285	s__SAR86 cluster bacterium BACL1 MAG-121004-bin11
G001439295	s__SAR92 bacterium BACL16 MAG-120322-bin99
G001439315	s__Cryomorphaceae bacterium BACL22 MAG-120619-bin32
G001439355	s__Actinobacteria bacterium BACL2 MAG-120507-bin38
G001439525	s__SAR86 cluster bacterium BACL1 MAG-121015-bin70
G001439535	s__Opitutaceae bacterium BACL24 MAG-120322-bin51
G001439585	s__Aneurinibacillus sp. XH2
G001439625	s__Bacillus sp. FJAT-25496
G001439635	s__Bacillus cecembensis
G001439665	s__Formosa algae
G001439915	s__Bacillus humi
G001439965	s__Bacillus farraginis
G001440545	s__Caloramator mitchellensis
G001441165	s__Acidipropionibacterium acidipropionici
G001441535	s__Altererythrobacter troitsensis
G001441615	s__Roseovarius atlanticus
G001441635	s__Roseovarius indicus
G001442515	s__Lysobacter enzymogenes
G001442535	s__Lysobacter antibioticus
G001442615	s__Algoriphagus sp. NH1
G001442625	s__Pedobacter ginsenosidimutans
G001442785	s__Lysobacter capsici
G001442855	g__Ca. Thermokryptus
G001443005	s__bacterium GBS-1
G001443365	s__Thaumarchaeota archaeon CSP1-1
G001443445	s__Ca. Dadabacteria bacterium CSP1-2
G001443455	s__Deltaproteobacteria bacterium CSP1-8
G001443525	s__Desulfobacteraceae bacterium RAAP-1
G001443565	s__Acidimicrobiaceae bacterium RAAP-3
G001443605	s__bacterium L21-Spi-D4
G001443675	s__endosymbiont of Ridgeia piscesae
G001444405	s__Pseudoalteromonas phenolica
G001444425	g__Pseudohongiella
G001444445	s__Prevotella enoeca
G001446935	s__Pseudomonas sp. TTU2014-080ASC
G001447195	s__Aquabacterium parvum
G001447335	s__Aeromonas schubertii
G001447355	s__Alicyclobacillus tengchongensis
G001447805	g__Ca. Tenderia
G001449115	g__Terracidiphilus
G001454945	s__Intestinimonas butyriciproducens
G001455825	s__Dehalococcoidia bacterium SCGC AB-540-C11
G001456065	s__Clostridium butyricum
G001456215	s__Staphylococcus aureus
G001457015	s__Bacillus cellulasensis
G001457415	s__Gorillibacterium sp. SN4
G001457475	s__Achromobacter xylosoxidans
G001457795	s__Olsenella sp. SIT9
G001457815	s__Vitreoscilla sp. SN6
G001457875	s__Actinomyces ihumii
G001458115	s__Gracilibacillus massiliensis
G001458175	s__Shimia marina
G001458215	s__Phaeobacter sp. CECT 7735
G001458315	g__Thalassobacter
G001458335	s__Thalassobius sp. CECT 5113
G001458355	s__Thalassobius gelatinovorus
G001458375	s__Tropicibacter naphthalenivorans
G001458395	s__Leisingera aquaemixtae
G001458415	s__Tropicibacter multivorans
G001458435	s__Thalassobius mediterraneus
G001458475	s__Kingella kingae
G001458595	s__Clostridium neonatale
G001460635	s__Helicobacter typhlonius
G001460935	s__bacterium 2013Arg42i
G001461035	g__Acetivibrio
G001462175	s__Psychrobacter sp. ENNN9_III
G001462205	g__Halopenitus
G001462225	s__Fibrobacteria bacterium GUT31
G001462235	s__Fibrobacteria bacterium GUT307
G001462245	g__Ca. Fibromonas
G001462255	s__Fibrobacteria bacterium GUT77
G001462305	s__Fibrobacteria bacterium AD80
G001462315	s__Fibrobacteria bacterium AD111
G001462345	s__Fibrobacteria bacterium AD312
G001462395	s__Pyrodictium occultum
G001463885	s__Aureimonas altamirensis
G001464045	s__Nitrosomonadales bacterium Ga0074132
G001464115	s__Chlamydiae bacterium Ga0074140
G001464125	s__Betaproteobacteria bacterium Ga0077540
G001464165	s__bacterium Ga0077546
G001464355	s__Burkholderiales bacterium Ga0077544
G001464455	s__Acidobacteria bacterium Ga0077534
G001464525	s__Planctomycetaceae bacterium Ga0077529
G001464625	s__Bacteroidia bacterium Ga0077558
G001464665	s__Acidobacteria bacterium Ga0074141
G001464715	s__Bdellovibrionales bacterium Ga0074137
G001464735	s__Nitrospira sp. Ga0074138
G001464795	s__Bdellovibrionales bacterium Ga0074139
G001465295	s__Pseudoalteromonas translucida
G001465835	s__Planococcus kocurii
G001465855	s__Rathayibacter toxicus
G001465875	s__Legionella saoudiensis
G001466305	f__Defluviitaleaceae
G001466665	s__Dehalogenimonas alkenigignens
G001466725	g__Lacimicrobium
G001467025	s__Legionella brunensis
G001467035	s__Legionella cherrii
G001467055	s__Legionella adelaidensis
G001467505	s__Legionella birminghamensis
G001467535	s__Legionella worsleiensis
G001467585	s__Legionella drozanskii
G001467615	s__Legionella erythra
G001467645	s__Legionella geestiana
G001467745	s__Legionella jamestowniensis
G001467785	s__Legionella israelensis
G001467825	s__Legionella londiniensis
G001467895	s__Legionella nautarum
G001467975	s__Legionella quinlivanii
G001468035	s__Legionella tucsonensis
G001468085	s__Legionella waltersii
G001468125	s__Legionella rubrilucens
G001468165	s__Legionella spiritensis
G001468395	s__Sphingopyxis sp. H073
G001468845	s__Ca. TM6 bacterium SOIL82
G001468855	s__Ca. TM6 bacterium UASB124
G001468865	s__Ca. TM6 bacterium SOIL31
G001468885	s__Ca. TM6 bacterium UASB293
G001468925	s__Ca. TM6 bacterium UASB340
G001469005	s__SAR324 cluster bacterium lautmerah10
G001469165	s__Thiohalocapsa sp. ML1
G001469845	s__Sphingomonas sp. WG
G001469865	s__Haloferax sp. SB29
G001469895	s__Pseudoalteromonas sp. XI10
G001469955	g__Haloprofundus
G001469965	s__Halothiobacillus sp. XI15
G001475745	s__Curtobacterium oceanosedimentum
G001476195	s__Kocuria kristinae
G001476815	g__Pseudacidovorax
G001477625	g__Paucibacter
G001477655	s__Methanobrevibacter millerae
G001481295	s__Ca. Methanomethylophilus sp. 1R26
G001481375	g__Ruthenibacterium
G001481685	s__Ignicoccus islandicus
G001482195	s__Luteimonas abyssi
G001482365	s__Kocuria flava
G001482385	s__Pseudoalteromonas rubra
G001482405	g__Ponticoccus
G001483135	g__Solirubrum
G001483385	s__Tenacibaculum dicentrarchi
G001483765	s__Nesterenkonia jeotgali
G001483865	g__Roseateles
G001483965	s__Carnobacterium sp. CP1
G001484065	g__Pannonibacter
G001484195	s__Thermococcus celericrescens
G001484605	s__Pseudarthrobacter sulfonivorans
G001484685	s__Thermococcus sp. 2319x1
G001484935	s__Acinetobacter johnsonii
G001484965	s__Bacillus shacheensis
G001485185	s__Clostridium ventriculi
G001485215	s__Leptolyngbya sp. NIES-2104
G001485475	s__Tepidanaerobacter syntrophicus
G001485495	s__Gordonia desulfuricans
G001486165	g__Bittarella
G001486445	s__Eggerthellaceae bacterium AT8
G001486525	s__Vibrio crassostreae
G001486665	g__Fournierella
G001487105	s__Ruminococcus sp. AT10
G001487125	s__Gabonibacter massiliensis
G001488575	s__Halobacterium hubeiense
G001493375	s__Streptomyces specialis
G001494635	s__Olsenella scatoligenes
G001499615	s__Acetobacter senegalensis
G001499655	s__Protochlamydia naegleriophila
G001499675	s__Acetobacter ghanensis
G001500315	s__Staphylococcus auricularis
G001507325	s__Chryseobacterium greenlandense
G001507335	s__Chryseobacterium sp. JAH
G001507665	s__Deinococcus actinosclerus
G001507915	s__Desulfonauticus sp. 38_4375
G001507935	s__Thermococcales archaeon 44_46
G001507955	s__Methanobacteriaceae archaeon 41_258
G001507975	s__Euryarchaeota archaeon 55_53
G001508005	s__Clostridia bacterium 41_269
G001508185	s__Methanosarcinales archeaon 56_1174
G001508335	s__Ca. TA06 bacterium 32_111
G001508355	s__Marinimicrobia bacterium 46_47
G001508455	f__Methanocalculaceae
G001508475	s__Anaerolineae bacterium 49_20
G001508535	s__Microgenomates bacterium 39_7
G001508575	s__Ca. TA06 bacterium 34_109
G001508595	s__Anaerolinaceae bacterium 46_22
G001508735	s__Thermoanaerobacter thermocopriae
G001508795	s__Thermotoga sp. 50_64
G001508835	s__bacterium 42_11
G001508855	s__Thermoanaerobacterales bacterium 50_218
G001508875	s__Thermotoga sp. 47_83
G001508935	s__Synergistales bacterium 54_24
G001508975	s__Synergistales bacterium 57_84
G001509075	s__Desulfotomaculum kuznetsovii
G001509095	s__Synergistales bacterium 58_81
G001509135	s__Thermotogales bacterium 46_20
G001509155	s__Synergistales bacterium 54_9
G001509275	s__Bacteroidetes bacterium 38_7
G001509285	s__Atribacteria bacterium 34_128
G001509335	s__Marinimicrobia bacterium 46_43
G001509345	s__Clostridiales bacterium 38_11
G001509795	s__Streptomyces sp. NRRL WC-3605
G001510075	s__Alphaproteobacteria bacterium casp-alpha2
G001510085	s__Alphaproteobacteria bacterium casp-alpha3
G001510135	s__Alphaproteobacteria bacterium casp-alpha6
G001510185	s__Alphaproteobacteria bacterium casp-alpha9
G001510225	s__Thaumarchaeota archaeon casp-thauma1
G001510275	s__Thaumarchaeota archaeon casp-thauma3
G001510295	s__Thaumarchaeota archaeon casp-thauma4
G001510335	s__Actinobacteria bacterium casp-actino2
G001510385	s__Actinobacteria bacterium casp-actino5
G001511815	s__Streptomyces reticuli
G001512375	s__Methanoculleus sp. DTU006
G001512385	s__Methanoculleus sp. DTU007
G001512425	s__Clostridiaceae bacterium DTU054
G001512435	s__Halothermothrix sp. DTU029
G001512485	s__Clostridiales bacterium DTU069
G001512505	s__Clostridiaceae bacterium DTU079
G001512545	s__Clostridia bacterium DTU065
G001512555	s__Clostridiaceae bacterium DTU059
G001512625	s__Clostridiales bacterium DTU036
G001512665	s__Clostridiales bacterium DTU073
G001512685	s__Clostridiales bacterium DTU072
G001512695	s__Tepidanaerobacter sp. DTU063
G001512745	s__Clostridiales bacterium DTU032
G001512785	s__Syntrophomonas sp. DTU019
G001512825	s__Clostridiales bacterium DTU010
G001512945	s__Clostridiales bacterium DTU023
G001512965	s__Methanomicrobia archaeon DTU008
G001512985	s__Acholeplasmatales bacterium DTU056
G001513045	s__Clostridiales bacterium DTU089
G001513065	s__Clostridiales bacterium DTU075
G001513075	s__Clostridiales bacterium DTU074
G001513105	s__Clostridiales bacterium DTU070
G001513125	s__Clostridia bacterium DTU030
G001513145	s__Clostridia bacterium DTU025
G001513155	s__Syntrophomonas sp. DTU018
G001513245	s__Peptococcaceae bacterium DTU027
G001513255	s__Clostridiales bacterium DTU035
G001513285	s__Rikenellaceae bacterium DTU049
G001513315	s__Thermotogaceae bacterium DTU111
G001513335	s__Clostridiales bacterium DTU086
G001513365	s__Clostridiales bacterium DTU033
G001513385	s__Clostridiales bacterium DTU064
G001513395	s__Clostridia bacterium DTU080
G001513425	s__Clostridiales bacterium DTU024
G001513495	s__Clostridiales bacterium DTU087
G001513505	s__Clostridiales bacterium DTU092
G001513545	s__Clostridia bacterium DTU068
G001513785	s__Rheinheimera sp. EpRS3
G001513975	s__Streptomyces curacoi
G001514045	s__Streptomyces ciscaucasicus
G001514455	s__Serratia fonticola
G001514495	s__Paenibacillus pabuli
G001515205	s__Hadesarchaea archaeon YNP_45
G001515215	s__Hadesarchaea archaeon YNP_N21
G001515265	g__Ca. Dichloromethanomonas
G001515305	g__Aquitalea
G001515525	g__Piscicoccus
G001515905	s__Vulcanisaeta sp. OSP_8
G001515945	s__Desulfitibacter sp. BRH_c19
G001515955	s__Clostridia bacterium BRH_c25
G001516025	s__bacterium BRH_c32
G001516045	s__Desulfosporosinus sp. BRH_c37
G001516055	g__Gracilibacter
